"","x"
"1",-1.26
"2",-1.22
"3",-0.78
"4",-0.98
"5",-1.47
"6",-1.69
"7",-1.71
"8",-1.87
"9",-1.86
"10",-1.31
"11",-1.58
"12",-1.89
"13",-1.73
"14",-1.79
"15",-1.33
"16",-1.63
"17",-1.21
"18",-1.56
"19",-1.63
"20",-1.72
"21",-2
"22",-1.76
"23",-1.92
"24",-1.69
"25",-1.85
"26",-2
"27",-1.95
"28",-1.77
"29",-1.92
"30",-1.92
"31",-1.87
"32",-1.61
"33",-1.01
"34",-1.2
"35",-1.33
"36",-1.87
"37",-1.91
"38",-1.62
"39",-1.92
"40",-1.59
"41",-1.67
"42",-1.53
"43",-1.9
"44",-1.61
"45",-1.25
"46",-1.27
"47",-1.83
"48",-1.89
"49",-1.48
"50",-1.79
"51",-1.41
"52",-1.38
"53",-1.62
"54",-1.36
"55",-1.86
"56",-1.66
"57",-1.74
"58",-1.46
"59",-1.77
"60",-1.58
"61",-1.72
"62",-1.62
"63",-1.64
"64",-1.71
"65",-1.83
"66",-1.73
"67",-1.12
"68",-1.9
"69",-1.97
"70",-1.67
"71",-1.69
"72",-1.88
"73",-1.58
"74",-1.46
"75",-1.84
"76",-1.24
"77",-1.72
"78",-1.92
"79",-1.43
"80",-1.82
"81",-1.77
"82",-1.64
"83",-1.95
"84",-1.74
"85",-1.88
"86",-1.66
"87",-1.67
"88",-1.88
"89",-1.61
"90",-1.85
"91",-1.7
"92",-1.94
"93",-1.85
"94",-1.8
"95",-1.84
"96",-1.51
"97",-1.48
"98",-1.3
"99",-1.35
"100",-1.89
"101",-1.99
"102",-1.86
"103",-1.49
"104",-1.94
"105",-1.7
"106",-2
"107",-1.66
"108",-1.7
"109",-1.41
"110",-1.81
"111",-1.58
"112",-1.67
"113",-1.52
"114",-1.44
"115",-1.37
"116",-1.93
"117",-1.65
"118",-1.44
"119",-1.33
"120",-1.72
"121",-1.26
"122",-0.75
"123",-1.81
"124",-1.77
"125",-1.22
"126",-1.3
"127",-1.66
"128",-1.53
"129",-1.84
"130",-1.91
"131",-1.8
"132",-1.75
"133",-1.89
"134",-1.68
"135",-0.96
"136",-1.57
"137",-1.77
"138",-1.95
"139",-1.53
"140",-1.86
"141",-1.69
"142",-1.91
"143",-1.89
"144",-1.82
"145",-1.63
"146",-1.89
"147",-1.61
"148",-1.9
"149",-1.44
"150",-1.31
"151",-1.48
"152",-1.85
"153",-1.57
"154",-1.83
"155",-1.45
"156",-1.69
"157",-1.99
"158",-1.76
"159",-1.72
"160",-1.68
"161",-1.61
"162",-1.7
"163",-1.67
"164",-1.95
"165",-1.25
"166",-1.55
"167",-1.63
"168",-1.7
"169",-1.94
"170",-1.99
"171",-1.68
"172",-1.96
"173",-1.53
"174",-1.15
"175",-1.37
"176",-1.15
"177",-1.21
"178",-1.29
"179",-1.34
"180",-1.83
"181",-1.64
"182",-1.19
"183",-1.25
"184",-1.96
"185",-1.96
"186",-1.81
"187",-1.7
"188",-1.8
"189",-1.41
"190",-1.72
"191",-1.67
"192",-1.82
"193",-1.53
"194",-1.75
"195",-1.32
"196",-1.92
"197",-1.92
"198",-1.92
"199",-1.61
"200",-1.63
"201",-1.69
"202",-1.95
"203",-1.98
"204",-1.95
"205",-1.74
"206",-1.83
"207",-1.35
"208",-1.45
"209",-1.26
"210",-1.77
"211",-1.56
"212",-1.51
"213",-1.67
"214",-1.95
"215",-1.55
"216",-1.95
"217",-1.22
"218",-1.02
"219",-0.92
"220",-1.91
"221",-1.43
"222",-1.14
"223",-1.38
"224",-1.64
"225",-1.97
"226",-1.89
"227",-1.77
"228",-1.77
